doc_id,title,dispute_id,title
79,Decision of the Amsterdam Court of Appeal on the Recognition of the Bankruptcy Proceedings in Russia (Ductch),1175,"Yukos Universal Limited (Isle of Man) v. The Russian Federation, UNCITRAL, PCA Case No. AA 227"
74,Decision of the Paris Court of Appeal (French),1175,"Yukos Universal Limited (Isle of Man) v. The Russian Federation, UNCITRAL, PCA Case No. AA 227"
88,Decision of the Brussels Court of Appeal on the Enforcement of the Arbitral Award [First Decision] (French),1175,"Yukos Universal Limited (Isle of Man) v. The Russian Federation, UNCITRAL, PCA Case No. AA 227"
88,Decision of the Brussels Court of Appeal on the Enforcement of the Arbitral Award [First Decision] (French),1175,"Yukos Universal Limited (Isle of Man) v. The Russian Federation, UNCITRAL, PCA Case No. AA 227"
91,Final Award,6667,"Olin Holdings Ltd v.Â  Libya, ICCÂ Case No. 20355/MCP"
89,Decision of the Brussels Court of Appeal on the Enforcement of the Arbitral Award [Second Decision] (French),1175,"Yukos Universal Limited (Isle of Man) v. The Russian Federation, UNCITRAL, PCA Case No. AA 227"
89,Decision of the Brussels Court of Appeal on the Enforcement of the Arbitral Award [Second Decision] (French),1175,"Yukos Universal Limited (Isle of Man) v. The Russian Federation, UNCITRAL, PCA Case No. AA 227"
87,Memorandum Opinion and Order of the US District Court for the District of Columbia,1175,"Yukos Universal Limited (Isle of Man) v. The Russian Federation, UNCITRAL, PCA Case No. AA 227"
93,Award (Spanish),6671,Jean-Marc Parienti v. Autoridad de Transito y Transporte Terrestre
99,Procedural Order No.1,6640,"Omega Engineering LLC and Oscar Rivera v. Republic of Panama, ICSID Case No. ARB/16/42"
100,Procedural Order No. 9 (On Security for Costs) (Spanish),6745,"Manuel GarcÃ_a Armas et al. V.Â Bolivarian Republic of Venezuela,Â PCA Case No. 2016-08"
111,Order,1167,"Western NIS Enterprise Fund v. Ukraine, ICSID Case No. ARB/04/2"
117,Judgment of the High Court of Delhi Vacating Order of 22 August 2017,2544,"Vodafone International Holdings BV v. Government of India [I], PCA Case No. 2016-35 (Dutch BIT Claim)"
103,Press Release on the Decision on Jurisdiction,2354,"World Wide Minerals v. Republic of Kazakhstan, UNCITRAL (Case 2)"
101,Award (reproduced with permission from 30 ILM 577 Â© ASIL and HeinOnline),1173,"Yaung Chi Oo Trading Pte. Ltd. v. Government of the Union of Myanmar, ASEAN I.D. Case No. ARB/01/1"
104,Final Award,1169,"White Industries Australia Limited v. The Republic of India, UNCITRAL"
115,Order of the Delhi High Court re Second Arbitration Proceeding,2544,"Vodafone International Holdings BV v. Government of India [I], PCA Case No. 2016-35 (Dutch BIT Claim)"
116,Indian Supreme Court Order,2544,"Vodafone International Holdings BV v. Government of India [I], PCA Case No. 2016-35 (Dutch BIT Claim)"
110,Award (English),1171,"Wintershall Aktiengesellschaft v. Argentine Republic, ICSID Case No. ARB/04/14"
126,Arbitral Award (English),1155,"Waste Management, Inc. v. United Mexican States, ICSID Case No. ARB(AF)/98/2"
128,Award (reproduced with permission from 41 ILM 896 Â© ASIL and HeinOnline),1162,"Wena Hotels Ltd. v. Arab Republic of Egypt, ICSID Case No. ARB/98/4"
129,Decision (Annulment Proceeding),1162,"Wena Hotels Ltd. v. Arab Republic of Egypt, ICSID Case No. ARB/98/4"
132,Confidentiality Order,1585,"Windstream Energy LLC v. Government of Canada, PCA Case No. 2013-22"
142,Procedural Order No. 5,1585,"Windstream Energy LLC v. Government of Canada, PCA Case No. 2013-22"
174,Procedural Order No. 2 Concerning Disclosure of Documents (English),1158,"Waste Management, Inc. v. United Mexican States (""Number 2""), ICSID Case No. ARB(AF)/00/3"
163,Award,1585,"Windstream Energy LLC v. Government of Canada, PCA Case No. 2013-22"
141,Annex A to Procedural Order No. 1 (Revised),1585,"Windstream Energy LLC v. Government of Canada, PCA Case No. 2013-22"
130,Decision on the Application by Wena Hotels Ltd. for Interpretation of the Arbitral Award,1162,"Wena Hotels Ltd. v. Arab Republic of Egypt, ICSID Case No. ARB/98/4"
130,Decision on the Application by Wena Hotels Ltd. for Interpretation of the Arbitral Award,1162,"Wena Hotels Ltd. v. Arab Republic of Egypt, ICSID Case No. ARB/98/4"
136,Procedural Order No. 2,1585,"Windstream Energy LLC v. Government of Canada, PCA Case No. 2013-22"
172,Procedural Order Concerning Disclosure of Documents (English),1158,"Waste Management, Inc. v. United Mexican States (""Number 2""), ICSID Case No. ARB(AF)/00/3"
165,Procedural Order No. 1 (English),1158,"Waste Management, Inc. v. United Mexican States (""Number 2""), ICSID Case No. ARB(AF)/00/3"
133,Procedural Order No. 1,1585,"Windstream Energy LLC v. Government of Canada, PCA Case No. 2013-22"
140,Procedural Order No. 4,1585,"Windstream Energy LLC v. Government of Canada, PCA Case No. 2013-22"
752,Decision of Landgericht KÃ¶ln (18 O 228/2010),982,"Mr. FranzÂ Sedelmayer v. The Russian Federation, SCC"
139,Procedural Order No. 3,1585,"Windstream Energy LLC v. Government of Canada, PCA Case No. 2013-22"
171,Decision on Venue of the Arbitration (English),1158,"Waste Management, Inc. v. United Mexican States (""Number 2""), ICSID Case No. ARB(AF)/00/3"
193,Procedural Order No. 4,1472,"Bernhard von Pezold and Others v. Republic of Zimbabwe, ICSID Case No. ARB/10/15"
194,Procedural Order No. 5,1472,"Bernhard von Pezold and Others v. Republic of Zimbabwe, ICSID Case No. ARB/10/15"
207,Decision on the Applicant's Urgent Application for Provisional Measures Regarding the Temporary Stay,1472,"Bernhard von Pezold and Others v. Republic of Zimbabwe, ICSID Case No. ARB/10/15"
