id,title,sector,host_state,treaty,arbitration_rules,outcome
5939,"(DS)2, S.A., Peter de Sutter and Kristof De Sutter v. Republic of Madagascar, ICSID Case No. ARB/17/18",Other service activities,,BLEU (Belgium-Luxembourg Economic Union) - Madagascar BIT (2005),ICSID,
5925,"Portigon AG v. Kingdom of Spain, ICSID Case No. ARB/17/15","Electricity, gas, steam and air conditioning supply",,Energy Charter Treaty,ICSID,
5986,"Puma Energy Holdings (Luxembourg) SARL v the Republic of Benin, SCCÂ Case No. SCC EA 2017/092","Electricity, gas, steam and air conditioning supply",,BLEU (Belgium-Luxembourg Economic Union) - Benin BIT (2001),SCC Rules of Arbitration,
5994,"DP World Limited v. Kingdom of Belgium, ICSID Case No. ARB/17/21",Transportation and storage,,BLEU (Belgium-Luxembourg Economic Union) - United Arab Emirates BIT (2004),ICSID,
6179,"The Renco Group, Inc. v. Republic of Peru (Second Case)","Mining and quarrying, including hydrocarbons (oil and gas)",,Peru-United States Trade Promotion Agreement,,
6207,"Yukos Capital SARL v Russian Federation,Â UNCITRALÂ (GenevaÂ Tribunal)","Mining and quarrying, including hydrocarbons (oil and gas)",,Energy Charter Treaty (ECT),UNCITRAL,
5954,"Capital Financial Holdings Luxembourg S.A. v. Republic of Cameroon, ICSID Case No. ARB/15/18",Financial and insurance activities,,BLEU (Belgium-Luxembourg Economic Union) - Cameroon BIT (1980),ICSID,In favour of State
6198,Boonsom Boonyanit v. Malaysia,Real estate activities,,ASEAN Agreement for the Promotion and Protection of Investments (1987),,
6209,"PL Holdings S.Ã .r.l. v. Republic of Poland, SCC Case No. V 2014/163",Financial and insurance activities,,BLEU (Belgium-Luxembourg Economic Union) - Poland BIT (1987),SCC Rules of Arbitration,In favour of Investor
6269,"Julio Miguel Orlandini-Agreda and Compania Minera Orlandini Ltda v. Bolivia, UNCITRAL","Mining and quarrying, including hydrocarbons (oil and gas)",,Bolivia - US BIT (1998),UNCITRAL,
5973,"Hela Schwarz GmbH v. People's Republic of China, ICSID Case No. ARB/17/19",Other service activities,,China - Germany BIT (2003),ICSID,
6222,"Vedanta Resources plc v. India, UNCITRALÂ (UK BIT claim)",Information and communication,,India - United Kingdom BIT (1994),UNCITRAL,
6284,"Nova Group Investments, B.V. v. Romania, ICSID Case No. ARB/16/19",Financial and insurance activities,,Netherlands - Romania BIT (1994),ICSID,
6331,"Igor Boyko v. Ukraine, UNCITRAL",Accommodation and food service activities,,Russian Federation - Ukraine BIT (1998),UNCITRAL,
6290,"Gambrinus, Corp. v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/11/31",Other service activities,,Barbados - Venezuela,ICSID,In favour of State
6162,"Big Sky Energy Corporation v. Republic of Kazakhstan, ICSID Case No. ARB/17/22","Electricity, gas, steam and air conditioning supply",,Kazakhstan - United States of America BIT (1992),ICSID,
6334,OmniTRAXÂ Enterprises Inc. and Others v Canada,Transportation and storage,,NAFTA,,
6345,"Limited Liability Company Lugzor and Others v. Russian Federation,Â PCA Case No. 2015-29",Real estate activities,,Russian Federation - Ukraine BIT (1998),UNCITRAL,
6428,"JÃ_rgen Wirtgen, Stefan Wirtgen, Gisela Wirtgen and JSW Solar (zwei) GmbH & Co. KG v. Czech Republic, PCA Case No. 2014-03","Electricity, gas, steam and air conditioning supply",,Czech Republic - Germany BIT (1990),Chapter 12 of the Swiss Federal Act on Private International Law Act,In favour of State
6388,"Zbigniew Piotr Grot and others v. Republic of Moldova, ICSID Case No. ARB/16/8","Agriculture, forestry and fishing",,Moldova - United States of America BIT (1993),ICSID,
6338,"GÃ¶rkem InÅŸaat Sanayi ve Ticaret Limited Å_irketi v. Turkmenistan, ICSID Case No. ARB/16/30",Construction,,Turkey - Turkmenistan BIT (1992),ICSID,Discontinued
6453,GL Farms LLC and Carl Adams v. Government of Canada,Manufacturing,,NAFTA,UNCITRAL,Discontinued
6320,"Eco Oro Minerals Corp. v. Republic of Colombia,Â ICSID Case No. ARB/16/41","Mining and quarrying, including hydrocarbons (oil and gas)",,Canada - Colombia FTA,ICSID,
6456,William Jay Greiner and Malbaie River Outfitters Inc. v. Government of Canada,"Agriculture, forestry and fishing",,NAFTA,UNCITRAL,Discontinued
6470,"GPF GP S.Ã .r.l v. Republic of Poland, SCC Case No. V 2014/168",Real estate activities,,BLEU (Belgium-Luxembourg Economic Union) - Poland BIT (1987),SCC Rules of Arbitration,In favour of State
6461,"Contractual Obligation Productions, LLC, Charles Robert Underwood and Carl Paolino v. Government of Canada",Information and communication,,NAFTA,UNCITRAL,Discontinued
6361,"Fouad Alghanim & Sons Co. for General Trading & Contracting, W.L.L. and Fouad Mohammed Thunyan Alghanim v. Hashemite Kingdom of Jordan, ICSID Case No. ARB/13/38",Information and communication,,Jordan - Kuwait BIT (2001),ICSID,
6819,"Christian Doutremepuich and Antoine Doutremepuich v. Republic of Mauritius, PCA Case No. 2018-37",Human health and social work activities,,France - Mauritius BIT (1973),UNCITRAL Arbitration Rules (2013),
6821,GBM Global et al. v. Kingdom of Spain (ICSID),Financial and insurance activities,,Mexico - Spain BIT (2006),ICSID Additional Facility - Arbitration Rules,
6856,"Elliott Associates L.P. v. Republic of Korea, UNCITRAL",Manufacturing,,United Statesâ€“Korea Free Trade Agreement (2007),UNCITRAL Arbitration Rules (2013),
6862,"beIN Corporation v. Kingdom of Saudi Arabia, UNCITRAL","Arts, entertainment and recreation",,OIC Investment Agreement (1981),UNCITRAL Arbitration Rules 2010,
5923,"Consutel Group S.p.A. in liquidazione, v. Republic of Algeria, PCA",Information and communication,,Italy-Algeria BIT,UNCITRAL,
6864,Jinlong Dongli Minera Internacional SA de CV v. United Mexican States,"Mining and quarrying, including hydrocarbons (oil and gas)",,China - Mexico BIT (2008),,
6822,Antonio del Valle RuizÂ et al v. Kingdom of Spain (UNCITRAL),Financial and insurance activities,,Mexico - Spain BIT (2006),UNCITRAL Arbitration Rules (2013),
6782,"Krederi Ltd. v. Ukraine,Â ICSID Case No. ARB/14/17",Construction,,UK - Ukraine BIT (1993),ICSID,
6866,Legacy Vulcan and Calizas Industriales del Carmen (Calica) v. United Mexican States,"Mining and quarrying, including hydrocarbons (oil and gas)",,NAFTA,,
6854,"Mason Capital L.P. and Mason Management LLCÂ v. Republic of Korea, UNCITRAL",Manufacturing,,U.S.-Korea Free Trade Agreement (2007),UNCITRAL,
6893,"Vento Motorcycles, Inc. v. United Mexican States, ICSID Case No. ARB(AF)/17/3",Transportation and storage,,NAFTA,ICSID Additional Facility - Arbitration Rules,
6937,"Michael Anthony Lee-Chin v. Dominican Republic, ICSID Case No. UNCT/18/3",Other service activities,,CARICOM - Dominican Republic Free Trade Agreement (2002),UNCITRAL,
6958,"MaÄŸdenli Yer Hizmetleri ve TaÅŸÄ±ma Anonim Å_irketi v. Kazakhstan, ICC",Other service activities,,Kazakhstan - Turkey BIT (1992),ICC,In favour of State
6976,"Sodexo Pass International SAS v. Hungary, ICSID Case No. ARB/14/20",Other service activities,,BIT France - Hungary (1986),ICSID,
6924,"Casinos Austria International GmbH and Casinos Austria Aktiengesellschaft v. Argentine Republic, ICSID Case No. ARB/14/32","Arts, entertainment and recreation",,Argentina - Austria BIT (1992),ICSID,
7001,"Foresight Luxembourg Solar 1 S. ÃÅ.R1., et al. v. Kingdom of Spain,Â SCC Case No. 2015/150","Electricity, gas, steam and air conditioning supply",,Energy Charter Treaty (1994),SCC,
6929,"Total E&P Uganda BV v. Republic of Uganda, ICSID Case No. ARB/15/11","Mining and quarrying, including hydrocarbons (oil and gas)",,Netherlands - Uganda BIT (2000),ICSID,Discontinued
7014,"Westwater Resources v Turkey, ICSID","Mining and quarrying, including hydrocarbons (oil and gas)",,Turkey-US BIT (1985),ICSID,
6953,"Zelena N.V. and Energo-Zelena d.o.o InÄ‘ija v. Republic of Serbia, ICSID Case No. ARB/14/27",Other service activities,,BLEU (Belgium-Luxembourg Economic Union) - Serbia BIT (2004),ICSID,
7024,"AS PNB Banka and others v. Republic of Latvia, ICSID Case No. ARB/17/47",Financial and insurance activities,,United Republic of Tanzania - United Kingdom BIT (1994),ICSID,
5410,Gran Colombia Gold v.Â Colombia,"Mining and quarrying, including hydrocarbons (oil and gas)",,Canadaâ€“Colombia Free Trade Agreement,,
5408,"Iskandar Safa and Akram Safa v. Hellenic Republic, ICSID Case No. ARB/16/20",Transportation and storage,,Greece - Lebanon BIT (1997),ICSID,
6884,"Albacora, S.A. v. La RepÃºblica del Ecuador, PCA Case No. 2016-11","Agriculture, forestry and fishing",,Ecuador - Spain BIT (1996),UNCITRAL,
